,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,depend
681,682,1.0,39.0,2.5,1.0,1.0,0.0,0.0,5.0,11.5,6.0,2.3,0.0,14.0,1.6,1.0,5.0,1.3,18.0,513.3,6.3,2.5,152.0,4.1,0.11,0.0,0.02,0.27,0.02,0.0,0.0,0.2,0.71,0.0,14.0,1.0,4.25,0.0,1.0,1.0,1.0,0
682,683,1.0,51.0,2.0,1.0,1.0,0.0,0.0,14.0,111.5,16.6,5.85,0.0,38.0,10.4,0.0,0.0,1.9,30.0,761.1,6.7,2.9,132.0,3.1,0.5,0.0,0.13,0.46,0.075,0.07,0.5,0.07,0.33,0.0,38.0,1.0,10.4,0.0,0.5,1.0,1.0,0
683,684,1.0,58.0,2.0,1.0,2.0,0.0,0.0,1.0,4.5,4.0,2.2,1.0,42.5,40.1,0.0,0.0,3.5,41.0,1126.8,20.05,12.2,26.0,1.0,0.95,0.0,0.0,0.04,0.0,0.0,0.5,0.0,0.07,1.0,48.0,2.0,46.1,0.0,2.0,0.81,0.86,0
684,685,0.0,50.0,3.0,1.0,3.0,1.0,0.0,3.0,25.3,10.6,8.4,0.0,3.0,1.7,0.0,0.0,2.2,27.0,715.4,12.1,7.7,28.0,1.7,0.51,0.0,0.02,0.11,0.03,0.0,0.5,0.0,0.11,0.0,3.0,1.0,1.7,0.5,1.0,1.0,1.0,0
685,686,0.0,43.0,3.0,1.0,4.0,1.0,1.0,6.0,56.65,14.3,11.0,0.0,15.0,3.2,0.0,0.0,1.0,1.0,55.6,25.4,7.9,7.0,3.0,0.0,1.0,0.21,1.0,1.0,0.0,0.16,0.16,0.0,0.0,15.0,1.0,17.25,0.0,1.0,1.0,1.0,0
686,687,1.0,55.0,5.0,1.0,2.0,0.0,0.0,12.0,143.8,14.0,17.9,0.0,4.0,4.0,1.0,3.0,2.2,10.0,955.6,8.8,8.1,37.0,1.7,0.7,0.0,0.15,0.8,0.21,0.0,0.62,0.12,0.665,0.0,20.0,1.0,23.9,0.0,2.0,0.2,0.51,0
687,688,1.0,40.0,5.0,2.0,2.0,0.0,0.0,3.0,22.8,20.3,7.6,0.0,8.0,3.1,0.5,1.0,2.0,13.0,554.6,12.6,7.5,85.5,2.0,0.48,0.25,0.06,0.23,0.04,0.0,0.0,0.0,0.23,0.0,33.0,5.0,21.9,1.0,0.0,0.18,0.12,0
688,689,1.0,71.0,4.0,1.0,4.0,1.0,0.0,2.0,20.6,5.0,10.3,0.0,7.0,7.9,0.0,2.0,1.3,3.0,152.2,7.2,10.1,11.0,2.0,0.0,0.0,0.235,0.66,0.13,0.0,0.0,0.5,0.0,0.0,12.0,2.0,11.6,0.0,0.0,0.58,0.68,0
689,690,0.0,54.0,3.0,1.0,2.0,0.0,0.5,3.0,56.1,13.55,18.7,0.0,39.0,13.25,0.0,2.0,1.8,19.0,586.7,10.1,6.3,30.0,1.4,0.63,0.0,0.25,0.15,0.09,0.0,0.7,0.33,0.115,0.5,39.0,1.0,13.0,0.0,2.0,1.0,1.0,0
690,691,1.0,44.0,3.0,0.5,3.0,0.0,2.0,14.0,92.0,11.7,3.2,0.0,4.0,3.6,1.0,0.0,2.6,7.0,307.3,22.1,9.65,22.0,2.1,0.42,1.0,0.12,1.0,0.14,0.0,0.07,0.07,1.0,0.0,4.0,1.0,4.6,1.0,2.0,1.0,1.0,0
